k;alpha;nPayments;End Epoch;DeployGas;StartConfirmGas;MaxConfirmGas;MinConfirmGas;PayGas
30;9;13;Yes;2955501;1455815;65056;50056;692117
30;9;14;No;2955501;660852;65056;50056;361381
30;9;14;Yes;2955501;1497893;65056;50056;704047
30;9;15;No;2955501;702919;65056;50056;373311
30;9;15;Yes;2955501;1539960;65056;50056;715977
30;9;16;No;2955501;744985;65056;50056;385241
30;9;16;Yes;2955501;1582027;65056;50056;727907
30;9;17;No;2955501;787039;65056;50056;397171
30;9;17;Yes;2955501;1624081;65056;50056;739837
30;9;18;No;2955501;829118;65056;50056;409101
30;9;18;Yes;2955501;1666160;65056;50056;751767
30;9;19;No;2955501;871172;65056;50056;421031
30;9;19;Yes;2955501;1708215;65056;50056;763697
30;9;20;No;2955501;913251;65056;50056;432961
30;9;20;Yes;2955501;1750293;65056;50056;775627
30;9;21;No;2955501;955305;65056;50056;444891
30;9;21;Yes;2955501;1792348;65056;50056;787557
30;9;22;No;2955501;997383;65056;50056;456821
30;9;22;Yes;2955501;1834427;65056;50056;799487
30;9;23;No;2955501;1039450;65056;50056;468751
30;9;23;Yes;2955501;1876494;65056;50056;811417
30;9;24;No;2955501;1081516;65056;50056;480681
30;9;24;Yes;2955501;1918560;65056;50056;823347
30;9;25;No;2955501;1123571;65056;50056;492611
30;9;25;Yes;2955501;1960615;65056;50056;835277
30;9;26;No;2955501;1165649;65056;50056;504541
30;9;26;Yes;2955501;2002694;65056;50056;847207
30;9;27;No;2955501;1207704;65056;50056;516471
30;9;27;Yes;2955501;2044749;65056;50056;859137
30;9;28;No;2955501;1249782;65056;50056;528401
30;9;28;Yes;2955501;2086827;65056;50056;871067
30;9;29;No;2955501;1291837;65056;50056;540331
30;9;29;Yes;2955501;2128882;65056;50056;882997
30;9;30;No;2955501;1333915;65056;50056;552261
30;9;30;Yes;2955501;2170961;65056;50056;894927
30;9;31;No;2955501;1375970;65056;50056;564191
30;9;31;Yes;2955501;2213016;65056;50056;906857
30;9;32;No;2955501;1418036;65056;50056;576121
30;9;32;Yes;2955501;2255083;65056;50056;918787
30;9;33;No;2955501;1460091;65056;50056;588051
30;9;33;Yes;2955501;2297138;65056;50056;930717
30;9;34;No;2955501;1502170;65056;50056;599981
30;9;34;Yes;2955501;2339217;65056;50056;942647
30;9;35;No;2955501;1544224;65056;50056;611911
30;9;35;Yes;2955501;2381272;65056;50056;954577
30;9;36;No;2955501;1586303;65056;50056;623841
30;9;36;Yes;2955501;2423351;65056;50056;966507
30;9;37;No;2955501;1628358;65056;50056;635771
30;9;37;Yes;2955501;2465406;65056;50056;978437
30;9;38;No;2955501;1670436;65056;50056;647701
30;9;38;Yes;2955501;2507485;65056;50056;990367
30;9;39;No;2955501;1712503;65056;50056;659631
30;9;39;Yes;2955501;2549552;65056;50056;1002297
40;4;1;No;3177850;114004;65056;50056;227941
40;4;1;Yes;3177850;1053422;65056;50056;613613
40;4;2;No;3177850;156082;65056;50056;239871
40;4;2;Yes;3177850;1095500;65056;50056;625543
40;4;3;No;3177850;198148;65056;50056;251801
40;4;3;Yes;3177850;1137567;65056;50056;637473
40;4;4;No;3177850;240226;65056;50056;263731
40;4;4;Yes;3177850;1179645;65056;50056;649403
40;4;5;No;3177850;282268;65056;50056;275661
40;4;5;Yes;3177850;1221688;65056;50056;661333
40;4;6;No;3177850;324347;65056;50056;287591
40;4;6;Yes;3177850;1263766;65056;50056;673263
40;4;7;No;3177850;366413;65056;50056;299521
40;4;7;Yes;3177850;1305833;65056;50056;685193
40;4;8;No;3177850;408479;65056;50056;311451
40;4;8;Yes;3177850;1347899;65056;50056;697123
40;4;9;No;3177850;450533;65056;50056;323381
40;4;9;Yes;3177850;1389954;65056;50056;709053
40;4;10;No;3177850;492611;65056;50056;335311
40;4;10;Yes;3177850;1432032;65056;50056;720983
40;4;11;No;3177850;534666;65056;50056;347241
40;4;11;Yes;3177850;1474087;65056;50056;732913
40;4;12;No;3177850;576744;65056;50056;359171
40;4;12;Yes;3177850;1516166;65056;50056;744843
40;4;13;No;3177850;618798;65056;50056;371101
40;4;13;Yes;3177850;1558220;65056;50056;756773
40;4;14;No;3177850;660876;65056;50056;383031
40;4;14;Yes;3177850;1600299;65056;50056;768703
40;4;15;No;3177850;702943;65056;50056;394961
40;4;15;Yes;3177850;1642366;65056;50056;780633
40;4;16;No;3177850;745009;65056;50056;406891
40;4;16;Yes;3177850;1684432;65056;50056;792563
40;4;17;No;3177850;787063;65056;50056;418821
40;4;17;Yes;3177850;1726487;65056;50056;804493
40;4;18;No;3177850;829142;65056;50056;430751
40;4;18;Yes;3177850;1768566;65056;50056;816423
40;4;19;No;3177850;871196;65056;50056;442681
40;4;19;Yes;3177850;1810620;65056;50056;828353
40;4;20;No;3177850;913275;65056;50056;454611
40;4;20;Yes;3177850;1852699;65056;50056;840283
40;4;21;No;3177850;955329;65056;50056;466541
40;4;21;Yes;3177850;1894754;65056;50056;852213
40;4;22;No;3177850;997407;65056;50056;478471
40;4;22;Yes;3177850;1936833;65056;50056;864143
40;4;23;No;3177850;1039474;65056;50056;490401
40;4;23;Yes;3177850;1978899;65056;50056;876073
40;4;24;No;3177850;1081540;65056;50056;502331
40;4;24;Yes;3177850;2020966;65056;50056;888003
40;4;25;No;3177850;1123595;65056;50056;514261
40;4;25;Yes;3177850;2063021;65056;50056;899933
40;4;26;No;3177850;1165661;65056;50056;526191
