value_hours,cdf
10.45692883895131,0.85
10.4625,0.851
10.470105820105822,0.852
10.492997198879552,0.853
10.527355072463767,0.854
10.531866666666666,0.855
10.539566395663956,0.856
10.540196078431373,0.857
10.544983818770227,0.858
10.54625850340136,0.859
10.55327380952381,0.86
10.555464480874317,0.861
10.5564,0.862
10.585555555555555,0.863
10.607181571815717,0.864
10.616512345679013,0.865
10.645797101449276,0.866
10.64783950617284,0.867
10.675,0.868
10.715765765765767,0.869
10.717407407407407,0.87
10.754365079365078,0.871
10.765136054421768,0.872
10.769467787114845,0.873
10.804166666666667,0.874
10.813254593175852,0.875
10.836170212765957,0.876
10.84820788530466,0.877
10.9015873015873,0.878
10.91504424778761,0.879
10.920833333333333,0.88
10.931683168316832,0.881
10.936604361370717,0.882
10.957716049382716,0.883
10.983510638297872,0.884
11.016019417475729,0.885
11.024509803921568,0.886
11.0609375,0.887
11.069391025641027,0.888
11.097291666666667,0.889
11.101461988304093,0.89
11.127083333333333,0.891
11.161833333333334,0.892
11.161881188118812,0.893
11.208722741433021,0.894
11.260240963855422,0.895
11.265072463768115,0.896
11.270643939393938,0.897
11.27135922330097,0.898
11.353763440860217,0.899
11.354938271604938,0.9
11.383171521035598,0.901
11.405785123966943,0.902
11.438837920489297,0.903
11.452044025157234,0.904
11.460897435897435,0.905
11.485612535612535,0.906
11.487439613526568,0.907
11.500537634408602,0.908
11.519,0.909
11.52766990291262,0.91
11.533720930232558,0.911
11.603405017921146,0.912
11.628939393939394,0.913
11.683040935672516,0.914
11.684432234432233,0.915
11.763690476190476,0.916
11.805396825396826,0.917
11.85432098765432,0.918
11.854938271604938,0.919
11.855438596491227,0.92
11.884556574923547,0.921
11.884745762711864,0.922
11.894512195121953,0.923
11.901834862385321,0.924
11.90948012232416,0.925
11.955056179775282,0.926
12.003484848484849,0.927
12.035632183908046,0.928
12.090031152647976,0.929
12.169186046511628,0.93
12.23162393162393,0.931
12.285271317829457,0.932
12.301797385620915,0.933
12.3390350877193,0.934
12.393005952380951,0.935
12.446886446886447,0.936
12.492647058823529,0.937
12.619918699186993,0.938
12.696204620462046,0.939
12.740555555555556,0.94
12.74056603773585,0.941
12.819803921568628,0.942
12.836635220125785,0.943
12.907638888888888,0.944
12.978079710144929,0.945
13.083333333333334,0.946
13.098299319727891,0.947
13.10218253968254,0.948
13.152688172043012,0.949
13.268235294117646,0.95
13.302355072463767,0.951
13.306702898550725,0.952
13.426356589147288,0.953
13.429037800687285,0.954
13.57633744855967,0.955
13.57766323024055,0.956
13.630833333333333,0.957
13.660326086956522,0.958
13.73125,0.959
13.890501792114696,0.96
13.895614035087718,0.961
14.0231884057971,0.962
14.04945054945055,0.963
14.06969696969697,0.964
14.297857142857143,0.965
14.301685393258426,0.966
14.355938697318008,0.967
14.368726591760298,0.968
14.394308943089431,0.969
14.41948051948052,0.97
14.460208333333334,0.971
14.560555555555556,0.972
14.628927203065134,0.973
14.673484848484849,0.974
14.9734375,0.975
15.014864864864865,0.976
15.089080459770114,0.977
15.186919831223628,0.978
15.187878787878788,0.979
15.399789029535864,0.98
15.544047619047618,0.981
15.99236111111111,0.982
16.084920634920636,0.983
16.108937198067633,0.984
16.38361111111111,0.985
16.42769953051643,0.986
16.486742424242426,0.987
16.51121212121212,0.988
16.57,0.989
16.74915611814346,0.99
16.8109375,0.991
16.87279411764706,0.992
17.309562841530056,0.993
17.508854166666666,0.994
17.564427860696515,0.995
17.6527397260274,0.996
18.089542483660132,0.997
19.958333333333332,0.998
20.08700564971751,0.999
22.387962962962963,1.0
